numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
16,47797,89635,40030,1233,9936,26818089,249.9488706588745,rgg
16,31126,54414,28775,766,7933,18957358,175.73187923431396,rgg
16,21871,34817,17999,350,5410,10147070,92.77238750457764,rgg
20,33925,60104,32596,697,10299,20176356,189.36244678497314,rgg
16,51991,97088,39148,928,8487,26917469,249.99880409240723,rgg
16,31426,56620,27221,601,7869,17407745,161.29564571380615,rgg
16,32118,57997,26801,591,6885,17163770,158.38070106506348,rgg
16,27321,45945,25509,558,7858,16140345,149.56631469726562,rgg
20,29794,49432,26068,542,9062,15666408,145.78620433807373,rgg
20,48188,115163,54863,1142,12068,33096069,320.465744972229,rgg
16,46033,85341,38373,846,9114,24518968,228.10827827453613,rgg
16,24277,40548,24094,500,6235,14475323,133.13610363006592,rgg
16,26353,46519,23999,648,6708,14059073,129.65312957763672,rgg
20,43725,78259,38252,856,10580,24819742,234.35726356506348,rgg
16,42944,77869,37301,895,8520,25953514,241.04994869232178,rgg
20,19999,33136,18788,210,6306,9142481,84.09517574310303,rgg
16,45120,83376,36145,837,8840,24262748,225.609224319458,rgg
16,35174,61670,33595,535,7910,23330725,216.1792984008789,rgg
16,23014,36982,18240,311,6083,10876074,99.91885280609131,rgg
16,69751,231836,89288,1674,12702,48551005,474.50246238708496,rgg
20,28900,51334,25854,689,7524,14980196,138.6698293685913,rgg
16,46883,83769,39942,1252,10444,27242818,256.52268409729004,rgg
16,39598,71189,34055,908,8734,22637504,210.38497734069824,rgg
20,60974,167044,62516,1320,11424,38260753,366.8012294769287,rgg
16,62839,186193,71645,1999,12508,43458159,423.6513433456421,rgg
16,46747,94371,45607,1009,8978,29253714,272.0828437805176,rgg
20,54053,119260,52650,1445,11145,31432388,299.8538188934326,rgg
16,19271,32173,17610,330,5623,9552620,87.51881504058838,rgg
16,31471,55862,29220,783,7588,19521762,180.72713565826416,rgg
20,59440,164015,60548,1336,12383,38709178,376.6793546676636,rgg
16,61021,206460,82533,2259,11984,49141767,475.42685413360596,rgg
20,19352,32014,16271,288,6894,8323996,76.82446479797363,rgg
